Quarter,SalesRep,Region,Product,Discount,Units,Cost,Price,Order Sales,Profit,Year
Q4,Max  Rodgers,West,Sunshine,0.0,3,10.24,19.95,59.85,29.13,2013-11-19
Q4,Max  Rodgers,West,Quad,0.0,2,27.0,34.0,68.0,14.0,2014-12-08
Q4,Peter  Hodges,MidWest,Sunshine,0.0,2,10.24,19.95,39.9,19.42,2014-11-15
Q4,Peter  Hodges,MidWest,Bellen,0.01,3,11.37,22.95,68.16,34.05,2014-11-14
Q4,Salvador  Bass,West,FlatTop,0.02,2,17.2,27.5,54.18,19.78,2013-10-31
Q4,Salvador  Bass,West,Sunset,0.0,3,13.5,23.5,70.5,30.0,2014-12-01
Q4,Bobbie  Ryan,East,Carlota,0.0,1,10.25,22.95,22.95,12.7,2014-10-28
Q4,Andrew  Meyer,West,Carlota,0.0,2,10.25,22.95,45.9,25.4,2014-11-27
Q4,Isabel  Cross,East,Bellen,0.0,3,11.37,22.95,68.85,34.74,2013-11-14
Q4,Della  Jensen,East,FlatTop,0.0,1,17.2,27.5,27.5,10.3,2013-12-12
Q4,Drew  Rogers,MidWest,Sunshine,0.03,2,10.24,19.95,38.7,18.22,2013-12-01
Q4,Iris  Underwood,West,Quad,0.0,3,27.0,34.0,102.0,21.0,2013-11-20
Q4,Drew  Rogers,MidWest,Quad,0.01,1,27.0,34.0,33.66,6.66,2013-11-04
Q1,Jenny  Garcia,MidWest,Quad,0.02,3,27.0,34.0,100.47,19.47,2013-01-05
Q3,Lorraine  Gibson,East,Sunshine,0.01,3,10.24,19.95,59.25,28.53,2013-09-12
Q4,Elaine  Ellis,South,Crested Beaut,0.03,1,16.0,25.0,24.38,8.38,2014-11-30
Q4,Eric  Rose,West,Bellen,0.03,3,11.37,22.95,66.78,32.67,2014-10-16
Q3,Isabel  Cross,East,Quad,0.0,1,27.0,34.0,34.0,7.0,2013-09-11
Q4,Woodrow  Colon,South,Sunset,0.03,2,13.5,23.5,45.59,18.59,2014-11-26
Q3,Edwin  Malone,East,Sunbell,0.0,1,12.42,25.0,25.0,12.58,2013-07-18
Q4,Paulette  Spencer,South,Bellen,0.02,3,11.37,22.95,67.47,33.36,2013-11-02
Q4,Cassandra  Franklin,MidWest,Bellen,0.02,2,11.37,22.95,44.98,22.24,2013-11-22
Q4,Allan  Ramos,MidWest,Sunbell,0.03,2,12.42,25.0,48.5,23.66,2014-10-28
Q3,Eric  Rose,West,Quad,0.01,1,27.0,34.0,33.66,6.66,2014-06-26
Q4,Cassandra  Franklin,MidWest,Carlota,0.0,3,10.25,22.95,68.85,38.1,2014-11-13
Q4,Della  Jensen,East,Carlota,0.03,3,10.25,22.95,66.78,36.03,2014-11-12
Q4,Shari  Silva,South,Carlota,0.02,3,10.25,22.95,67.82,37.07,2013-11-23
Q3,Austin  Reynolds,East,Crested Beaut,0.0,3,16.0,25.0,75.0,27.0,2014-07-02
Q4,Dan  Peterson,MidWest,Sunshine,0.01,2,10.24,19.95,39.5,19.02,2014-10-17
Q4,Elbert  Klein,South,Sunshine,0.01,1,10.24,19.95,19.75,9.51,2014-11-02
Q4,Nellie  Joseph,East,Aspen,0.0,3,12.0,21.0,63.0,27.0,2013-12-03
Q4,Robert  Munoz,MidWest,Sunbell,0.03,2,12.42,25.0,48.75,23.91,2013-11-23
Q4,Herman  Williams,East,Sunset,0.0,3,13.5,23.5,70.5,30.0,2014-11-18
Q4,Cassandra  Franklin,MidWest,FlatTop,0.02,3,17.2,27.5,81.26,29.66,2014-11-23
Q4,Woodrow  Colon,South,Bellen,0.0,3,11.37,22.95,68.85,34.74,2013-11-12
Q4,Willie  Vega,MidWest,Majectic Beaut,0.0,2,13.0,30.0,60.0,34.0,2013-10-28
Q4,Cassandra  Franklin,MidWest,Doublers,0.0,2,64.32,79.95,159.9,31.26,2014-11-18
Q2,Lorraine  Gibson,East,Quad,0.02,2,27.0,34.0,66.64,12.64,2014-05-24
Q3,Christina  Fuller,West,Bellen,0.0,1,11.37,22.95,22.95,11.58,2013-06-27
Q4,Ivan  Adkins,West,Sunshine,0.0,2,10.24,19.95,39.9,19.42,2013-10-21
Q4,Brooke  Horton,MidWest,FlatTop,0.0,3,17.2,27.5,82.5,30.9,2014-11-03
Q4,Robert  Munoz,MidWest,Crested Beaut,0.01,1,16.0,25.0,24.75,8.75,2014-11-05
Q4,Edwin  Malone,East,Carlota,0.02,3,10.25,22.95,67.82,37.07,2014-12-15
Q4,Tracy  Reed,MidWest,Sunbell,0.0,2,12.42,25.0,50.0,25.16,2013-10-25
Q4,Rachel  Gomez,MidWest,FlatTop,0.0,3,17.2,27.5,82.5,30.9,2013-11-09
Q4,Lynette  Brewer,MidWest,Aspen,0.0,3,12.0,21.0,63.0,27.0,2013-10-26
Q4,Kyle  Carr,MidWest,Carlota,0.0,2,10.25,22.95,45.9,25.4,2014-11-02
Q4,Carla  Mccormick,MidWest,Carlota,0.03,3,10.25,22.95,66.78,36.03,2013-11-24
Q4,Fernando  Rowe,West,Sunshine,0.0,1,10.24,19.95,19.95,9.71,2013-11-18
Q4,Jaime  Pearson,MidWest,Bellen,0.0,2,11.37,22.95,45.9,23.16,2013-10-20
Q4,Max  Rodgers,West,Sunbell,0.02,2,12.42,25.0,49.25,24.41,2014-11-29
Q4,Della  Jensen,East,Bellen,0.0,2,11.37,22.95,45.9,23.16,2014-12-11
Q3,Donna  Reid,West,Carlota,0.0,3,10.25,22.95,68.85,38.1,2013-08-09
Q4,Robert  Munoz,MidWest,Carlota,0.0,2,10.25,22.95,45.9,25.4,2014-12-06
Q4,Cindy  Becker,South,Majectic Beaut,0.01,1,13.0,30.0,29.7,16.7,2014-11-28
Q3,Cindy  Becker,South,Aspen,0.03,1,12.0,21.0,20.48,8.48,2013-08-29
Q4,Robert  Munoz,MidWest,Quad,0.03,3,27.0,34.0,98.94,17.94,2014-12-06
Q4,Jenny  Garcia,MidWest,Sunset,0.0,3,13.5,23.5,70.5,30.0,2013-10-29
Q1,Pauline  Beck,West,Sunbell,0.03,1,12.42,25.0,24.25,11.83,2013-01-18
Q4,Max  Rodgers,West,Majectic Beaut,0.03,2,13.0,30.0,58.5,32.5,2013-11-18
Q4,Cindy  Becker,South,Carlota,0.0,1,10.25,22.95,22.95,12.7,2013-12-11
Q4,Rachel  Gomez,MidWest,Sunshine,0.03,2,10.24,19.95,38.9,18.42,2013-11-11
Q3,Lorraine  Gibson,East,Carlota,0.0,2,10.25,22.95,45.9,25.4,2013-06-26
Q1,Lee  Mack,MidWest,Sunbell,0.02,1,12.42,25.0,24.63,12.21,2013-01-13
Q4,Dan  Peterson,MidWest,Sunshine,0.03,1,10.24,19.95,19.45,9.21,2013-12-07
Q3,Robert  Munoz,MidWest,Quad,0.02,3,27.0,34.0,99.96,18.96,2014-07-18
Q4,Eric  Rose,West,Sunshine,0.0,1,10.24,19.95,19.95,9.71,2014-10-16
Q4,Christina  Fuller,West,Bellen,0.02,2,11.37,22.95,45.21,22.47,2014-12-05
Q4,Jenny  Garcia,MidWest,Quad,0.0,4,27.0,34.0,136.0,28.0,2013-11-09
Q4,Ellen  Weaver,South,Sunset,0.01,1,13.5,23.5,23.27,9.77,2014-12-14
Q4,Eric  Rose,West,Carlota,0.01,2,10.25,22.95,45.44,24.94,2014-12-06
Q4,Jaime  Pearson,MidWest,Bellen,0.03,2,11.37,22.95,44.52,21.78,2013-12-14
Q4,Marian  Hill,South,Sunshine,0.0,2,10.24,19.95,39.9,19.42,2014-11-16
Q4,Blake  Bridges,South,Sunshine,0.0,1,10.24,19.95,19.95,9.71,2013-09-27
Q4,Sandra  Floyd,MidWest,Quad,0.0,2,27.0,34.0,68.0,14.0,2013-12-11
Q4,Cindy  Becker,South,Carlota,0.02,1,10.25,22.95,22.49,12.24,2013-12-13
Q4,Austin  Reynolds,East,Bellen,0.0,4,11.37,22.95,91.8,46.32,2014-12-15
Q4,Elvira  Bowman,MidWest,Sunshine,0.0,3,10.24,19.95,59.85,29.13,2013-11-22
Q4,Jenny  Garcia,MidWest,Quad,0.0,3,27.0,34.0,102.0,21.0,2013-11-07
Q1,Cassandra  Franklin,MidWest,Doublers,0.0,4,64.32,79.95,319.8,62.52,2013-02-03
Q4,Ben  Perez,West,Crested Beaut,0.01,1,16.0,25.0,24.75,8.75,2013-11-27
Q1,Robert  Munoz,MidWest,Sunbell,0.0,2,12.42,25.0,50.0,25.16,2013-01-13
Q4,Lance  Yates,MidWest,Doublers,0.0,2,64.32,79.95,159.9,31.26,2014-11-25
Q1,Cecilia  Manning,South,Quad,0.02,3,27.0,34.0,100.47,19.47,2013-03-09
Q4,Patty  Thompson,West,Bellen,0.0,4,11.37,22.95,91.8,46.32,2014-11-05
Q4,Robert  Munoz,MidWest,FlatTop,0.0,2,17.2,27.5,55.0,20.6,2013-11-24
Q2,Elaine  Ellis,South,Sunshine,0.01,2,10.24,19.95,39.5,19.02,2014-04-21
Q4,Isabel  Cross,East,Sunshine,0.0,3,10.24,19.95,59.85,29.13,2013-11-14
Q4,Shari  Silva,South,Quad,0.0,2,27.0,34.0,68.0,14.0,2014-10-29
Q4,Sandra  Floyd,MidWest,Sunshine,0.0,2,10.24,19.95,39.9,19.42,2014-10-28
Q4,Shari  Silva,South,Bellen,0.02,2,11.37,22.95,45.21,22.47,2014-12-15
Q2,Trevor  Jones,West,Sunshine,0.0,1,10.24,19.95,19.95,9.71,2013-04-01
Q1,Mable  Lindsey,West,Quad,0.02,3,27.0,34.0,99.96,18.96,2014-02-10
Q4,Drew  Rogers,MidWest,Quad,0.01,2,27.0,34.0,67.32,13.32,2014-11-24
Q4,Sonya  Mullins,East,Quad,0.0,1,27.0,34.0,34.0,7.0,2013-12-05
Q4,Jenny  Garcia,MidWest,Bellen,0.01,3,11.37,22.95,68.16,34.05,2014-10-30
Q4,Jenny  Garcia,MidWest,Aspen,0.02,2,12.0,21.0,41.16,17.16,2013-10-30
Q1,Iris  Underwood,West,Quad,0.0,2,27.0,34.0,68.0,14.0,2013-02-16
Q1,Tiffany  May,West,Quad,0.0,3,27.0,34.0,102.0,21.0,2014-01-13
Q2,Kyle  Carr,MidWest,Quad,0.03,4,27.0,34.0,131.92,23.92,2013-04-20
Q2,Salvador  Bass,West,Sunbell,0.0,1,12.42,25.0,25.0,12.58,2014-03-20
Q4,Dan  Peterson,MidWest,Crested Beaut,0.02,2,16.0,25.0,49.25,17.25,2014-11-09
Q3,Max  Rodgers,West,Sunbell,0.03,2,12.42,25.0,48.5,23.66,2014-06-19
Q4,Edwin  Malone,East,Bellen,0.03,2,11.37,22.95,44.52,21.78,2014-12-10
Q2,Robert  Munoz,MidWest,Sunbell,0.03,2,12.42,25.0,48.75,23.91,2014-03-25
Q4,Elbert  Klein,South,Aspen,0.02,1,12.0,21.0,20.58,8.58,2013-11-01
Q4,Isabel  Cross,East,Sunbell,0.0,2,12.42,25.0,50.0,25.16,2014-11-18
Q4,Cassandra  Franklin,MidWest,Sunbell,0.03,2,12.42,25.0,48.75,23.91,2013-11-25
Q1,Drew  Rogers,MidWest,Doublers,0.0,1,64.32,79.95,79.95,15.63,2013-02-23
Q4,Cassandra  Franklin,MidWest,Quad,0.01,2,27.0,34.0,67.32,13.32,2014-11-09
Q4,Trevor  Jones,West,Sunshine,0.0,3,10.24,19.95,59.85,29.13,2013-11-05
Q1,Rachel  Gomez,MidWest,Sunshine,0.0,2,10.24,19.95,39.9,19.42,2013-02-16
Q4,Della  Jensen,East,Quad,0.03,2,27.0,34.0,65.96,11.96,2014-11-02
Q4,Billie  Chandler,MidWest,Sunshine,0.01,2,10.24,19.95,39.5,19.02,2013-11-22
Q4,Guillermo  Potter,MidWest,Carlota,0.01,3,10.25,22.95,68.16,37.41,2013-10-17
Q4,Donna  Reid,West,Quad,0.03,3,27.0,34.0,99.45,18.45,2014-12-12
Q4,Salvador  Bass,West,Majectic Beaut,0.03,1,13.0,30.0,29.1,16.1,2013-10-21
Q4,Brooke  Horton,MidWest,Sunbell,0.03,2,12.42,25.0,48.75,23.91,2014-12-06
Q1,Allan  Ramos,MidWest,Sunbell,0.02,3,12.42,25.0,73.5,36.24,2014-02-01
Q3,Isabel  Cross,East,Quad,0.0,1,27.0,34.0,34.0,7.0,2014-07-21
Q4,Robert  Munoz,MidWest,Aspen,0.01,2,12.0,21.0,41.58,17.58,2013-11-11
Q4,Sandra  Floyd,MidWest,Bellen,0.0,1,11.37,22.95,22.95,11.58,2014-11-03
Q3,Cecilia  Manning,South,Majectic Beaut,0.02,2,13.0,30.0,59.1,33.1,2014-07-01
Q4,Max  Rodgers,West,Majectic Beaut,0.0,2,13.0,30.0,60.0,34.0,2013-10-27
Q1,Isabel  Cross,East,Majectic Beaut,0.0,4,13.0,30.0,120.0,68.0,2014-01-12
Q4,Bernadette  Page,MidWest,Quad,0.02,1,27.0,34.0,33.32,6.32,2013-11-07
Q4,Isabel  Cross,East,Carlota,0.03,1,10.25,22.95,22.38,12.13,2013-10-03
Q4,Woodrow  Colon,South,V-Rang,0.02,3,10.23,19.0,55.86,25.17,2014-10-16
Q4,Andrew  Meyer,West,Bellen,0.03,2,11.37,22.95,44.75,22.01,2014-12-10
Q4,Allan  Ramos,MidWest,Sunset,0.0,1,13.5,23.5,23.5,10.0,2013-09-16
Q1,Bethany  Pena,MidWest,Sunshine,0.01,1,10.24,19.95,19.75,9.51,2013-02-14
Q4,Carla  Mccormick,MidWest,Bellen,0.01,1,11.37,22.95,22.72,11.35,2014-10-19
Q4,Lance  Yates,MidWest,Quad,0.01,2,27.0,34.0,67.32,13.32,2014-11-03
Q4,Drew  Rogers,MidWest,Quad,0.0,2,27.0,34.0,68.0,14.0,2014-12-12
Q2,Sylvester  Morales,West,Quad,0.01,2,27.0,34.0,67.32,13.32,2013-05-10
Q4,Edwin  Malone,East,Sunshine,0.0,2,10.24,19.95,39.9,19.42,2014-10-28
Q4,Robert  Munoz,MidWest,Carlota,0.02,3,10.25,22.95,67.82,37.07,2014-11-29
Q4,Salvador  Bass,West,Bellen,0.0,1,11.37,22.95,22.95,11.58,2014-10-31
Q4,Salvador  Bass,West,Quad,0.0,2,27.0,34.0,68.0,14.0,2014-11-04
Q1,Bethany  Pena,MidWest,Carlota,0.0,3,10.25,22.95,68.85,38.1,2014-01-20
Q4,Jenny  Garcia,MidWest,Carlota,0.0,3,10.25,22.95,68.85,38.1,2013-11-25
Q2,Ernest  Davis,West,FlatTop,0.0,2,17.2,27.5,55.0,20.6,2014-06-10
Q4,Rachel  Gomez,MidWest,Quad,0.01,3,27.0,34.0,100.98,19.98,2013-11-28
Q4,Elbert  Klein,South,Crested Beaut,0.02,4,16.0,25.0,98.5,34.5,2014-11-20
Q4,Christina  Fuller,West,Doublers,0.0,2,64.32,79.95,159.9,31.26,2013-11-13
Q4,Elaine  Ellis,South,Quad,0.0,2,27.0,34.0,68.0,14.0,2013-11-08
Q4,Austin  Reynolds,East,Carlota,0.0,3,10.25,22.95,68.85,38.1,2013-12-14
Q4,Eddie  Green,East,Bellen,0.03,2,11.37,22.95,44.75,22.01,2013-11-20
Q4,Elbert  Klein,South,Crested Beaut,0.02,3,16.0,25.0,73.5,25.5,2013-11-07
Q4,Patty  Thompson,West,Sunshine,0.0,2,10.24,19.95,39.9,19.42,2013-12-11
Q1,Arturo  Francis,East,Aspen,0.0,3,12.0,21.0,63.0,27.0,2014-02-22
Q4,Edwin  Malone,East,Bellen,0.0,2,11.37,22.95,45.9,23.16,2014-12-10
Q4,Joey  Wong,West,Aspen,0.02,3,12.0,21.0,61.74,25.74,2013-11-24
Q4,Drew  Rogers,MidWest,Sunbell,0.0,2,12.42,25.0,50.0,25.16,2013-11-25
Q1,Lynette  Brewer,MidWest,Sunshine,0.0,1,10.24,19.95,19.95,9.71,2013-02-26
Q4,Sonya  Mullins,East,Doublers,0.0,3,64.32,79.95,239.85,46.89,2013-11-06
Q4,Brooke  Horton,MidWest,Carlota,0.0,3,10.25,22.95,68.85,38.1,2014-10-16
Q1,Don  Gonzales,South,Doublers,0.0,4,64.32,79.95,319.8,62.52,2012-12-20
Q3,Rachel  Gomez,MidWest,Doublers,0.0,3,64.32,79.95,239.85,46.89,2013-07-25
Q4,Bethany  Pena,MidWest,Sunshine,0.0,4,10.24,19.95,79.8,38.84,2013-11-13
Q4,Ruben  Nunez,West,Sunbell,0.01,3,12.42,25.0,74.25,36.99,2013-11-13
Q4,Herman  Williams,East,Crested Beaut,0.02,1,16.0,25.0,24.5,8.5,2014-11-05
Q4,Lance  Yates,MidWest,Carlota,0.01,3,10.25,22.95,68.16,37.41,2013-11-16
Q4,Sonya  Mullins,East,V-Rang,0.02,2,10.23,19.0,37.43,16.97,2013-10-25
Q4,Brooke  Horton,MidWest,Carlota,0.03,3,10.25,22.95,67.13,36.38,2013-11-02
Q4,Lorraine  Gibson,East,Carlota,0.0,1,10.25,22.95,22.95,12.7,2013-12-09
Q3,Della  Jensen,East,Bellen,0.03,3,11.37,22.95,67.13,33.02,2013-07-03
Q4,Rachel  Gomez,MidWest,Quad,0.0,2,27.0,34.0,68.0,14.0,2013-11-14
Q4,Paulette  Spencer,South,Sunshine,0.02,2,10.24,19.95,39.1,18.62,2014-12-05
Q4,Rachel  Gomez,MidWest,Sunshine,0.0,2,10.24,19.95,39.9,19.42,2014-11-03
Q4,Beth  Tucker,West,Carlota,0.03,2,10.25,22.95,44.75,24.25,2013-11-12
Q4,Della  Jensen,East,Bellen,0.02,3,11.37,22.95,67.82,33.71,2014-10-17
Q4,Rachel  Gomez,MidWest,Crested Beaut,0.01,3,16.0,25.0,74.25,26.25,2014-12-13
Q4,Bernadette  Page,MidWest,Bellen,0.0,3,11.37,22.95,68.85,34.74,2014-10-23
Q4,Cecilia  Manning,South,Majectic Beaut,0.02,3,13.0,30.0,88.65,49.65,2014-11-29
Q4,Eddie  Green,East,Quad,0.03,1,27.0,34.0,33.15,6.15,2013-12-11
Q4,Joey  Wong,West,Sunset,0.0,3,13.5,23.5,70.5,30.0,2014-12-10
Q4,Allan  Ramos,MidWest,Aspen,0.03,1,12.0,21.0,20.37,8.37,2014-12-13
Q4,Bernadette  Page,MidWest,Aspen,0.0,2,12.0,21.0,42.0,18.0,2013-11-14
Q4,Elvira  Bowman,MidWest,Sunset,0.0,3,13.5,23.5,70.5,30.0,2013-11-05
Q4,Fernando  Rowe,West,Carlota,0.03,3,10.25,22.95,67.13,36.38,2014-11-16
Q4,Jenny  Garcia,MidWest,Quad,0.0,2,27.0,34.0,68.0,14.0,2014-10-16
Q4,Allan  Ramos,MidWest,Aspen,0.02,2,12.0,21.0,41.37,17.37,2013-10-06
Q4,Fernando  Rowe,West,Bellen,0.03,2,11.37,22.95,44.52,21.78,2014-10-29
Q4,Beth  Tucker,West,Sunshine,0.0,3,10.24,19.95,59.85,29.13,2014-10-27
Q4,Andrew  Meyer,West,Sunshine,0.03,2,10.24,19.95,38.7,18.22,2014-11-26
Q4,Della  Jensen,East,Carlota,0.03,1,10.25,22.95,22.38,12.13,2013-10-22
Q4,Mable  Lindsey,West,Bellen,0.0,2,11.37,22.95,45.9,23.16,2013-12-09
Q4,Rachel  Gomez,MidWest,Quad,0.02,3,27.0,34.0,100.47,19.47,2014-12-10
Q4,Edwin  Malone,East,Bellen,0.03,2,11.37,22.95,44.52,21.78,2014-10-26
Q4,Patty  Thompson,West,Quad,0.03,2,27.0,34.0,66.3,12.3,2013-12-10
Q2,Rachel  Gomez,MidWest,Bellen,0.0,2,11.37,22.95,45.9,23.16,2013-03-23
Q4,Della  Jensen,East,Sunset,0.0,2,13.5,23.5,47.0,20.0,2013-12-02
Q3,Colleen  Warren,West,Quad,0.03,1,27.0,34.0,32.98,5.98,2013-08-19
Q4,Bernadette  Page,MidWest,Crested Beaut,0.0,3,16.0,25.0,75.0,27.0,2014-12-15
Q4,Rachel  Gomez,MidWest,Sunbell,0.02,2,12.42,25.0,49.0,24.16,2014-10-29
Q1,Donna  Reid,West,Carlota,0.0,2,10.25,22.95,45.9,25.4,2013-02-12
Q4,Arturo  Francis,East,Majectic Beaut,0.0,3,13.0,30.0,90.0,51.0,2013-10-18
Q4,Drew  Rogers,MidWest,Sunset,0.0,2,13.5,23.5,47.0,20.0,2014-10-08
Q4,Salvador  Bass,West,Majectic Beaut,0.02,1,13.0,30.0,29.55,16.55,2013-12-07
Q4,Bethany  Pena,MidWest,Quad,0.03,1,27.0,34.0,32.98,5.98,2013-12-13
Q3,Max  Rodgers,West,Sunbell,0.01,2,12.42,25.0,49.5,24.66,2014-08-04
Q4,Sandra  Floyd,MidWest,Bellen,0.0,2,11.37,22.95,45.9,23.16,2013-11-03
Q4,Peter  Hodges,MidWest,Sunbell,0.0,1,12.42,25.0,25.0,12.58,2014-11-19
Q4,Rachel  Gomez,MidWest,Carlota,0.0,1,10.25,22.95,22.95,12.7,2013-12-11
Q4,Andrew  Meyer,West,Bellen,0.03,1,11.37,22.95,22.26,10.89,2014-12-15
Q4,Beth  Tucker,West,Sunbell,0.0,3,12.42,25.0,75.0,37.74,2014-12-07
Q4,Lula  Daniels,MidWest,Carlota,0.03,3,10.25,22.95,67.13,36.38,2014-12-07
Q4,Cindy  Becker,South,Bellen,0.02,1,11.37,22.95,22.61,11.24,2014-11-20
