Quarter,SalesRep,Region,Product,Discount,Units,Cost,Price,Order Sales,Profit
Q4 41964,Robert  Munoz,MidWest,Crested Beaut,0.01,1,16.00,25.00,24.75,8.75
Q4 42004,Edwin  Malone,East,Carlota,0.02,3,10.25,22.95,67.82,37.07
Q4 41588,Tracy  Reed,MidWest,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41603,Rachel  Gomez,MidWest,FlatTop,0,3,17.20,27.50,82.50,30.90
Q4 41589,Lynette  Brewer,MidWest,Aspen,0,3,12.00,21.00,63.00,27.00
Q4 41961,Kyle  Carr,MidWest,Carlota,0,2,10.25,22.95,45.90,25.40
Q4 41618,Carla  Mccormick,MidWest,Carlota,0.03,3,10.25,22.95,66.78,36.03
Q4 41612,Fernando  Rowe,West,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41583,Jaime  Pearson,MidWest,Bellen,0,2,11.37,22.95,45.90,23.16
Q4 41988,Max  Rodgers,West,Sunbell,0.02,2,12.42,25.00,49.25,24.41
Q4 42000,Della  Jensen,East,Bellen,0,2,11.37,22.95,45.90,23.16
Q3 41511,Donna  Reid,West,Carlota,0,3,10.25,22.95,68.85,38.10
Q4 41995,Robert  Munoz,MidWest,Carlota,0,2,10.25,22.95,45.90,25.40
Q4 41987,Cindy  Becker,South,Majectic Beaut,0.01,1,13.00,30.00,29.70,16.70
Q3 41531,Cindy  Becker,South,Aspen,0.03,1,12.00,21.00,20.48,8.48
Q4 41995,Robert  Munoz,MidWest,Quad,0.03,3,27.00,34.00,98.94,17.94
Q4 41592,Jenny  Garcia,MidWest,Sunset,0,3,13.50,23.50,70.50,30.00
Q1 41308,Pauline  Beck,West,Sunbell,0.03,1,12.42,25.00,24.25,11.83
Q4 41612,Max  Rodgers,West,Majectic Beaut,0.03,2,13.00,30.00,58.50,32.50
Q4 41635,Cindy  Becker,South,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 41605,Rachel  Gomez,MidWest,Sunshine,0.03,2,10.24,19.95,38.90,18.42
Q3 41467,Lorraine  Gibson,East,Carlota,0,2,10.25,22.95,45.90,25.40
Q1 41303,Lee  Mack,MidWest,Sunbell,0.02,1,12.42,25.00,24.63,12.21
Q4 41631,Dan  Peterson,MidWest,Sunshine,0.03,1,10.24,19.95,19.45,9.21
Q3 41854,Robert  Munoz,MidWest,Quad,0.02,3,27.00,34.00,99.96,18.96
Q4 41944,Eric  Rose,West,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41994,Christina  Fuller,West,Bellen,0.02,2,11.37,22.95,45.21,22.47
Q4 41603,Jenny  Garcia,MidWest,Quad,0,4,27.00,34.00,136.00,28.00
Q4 42003,Ellen  Weaver,South,Sunset,0.01,1,13.50,23.50,23.27,9.77
Q4 41995,Eric  Rose,West,Carlota,0.01,2,10.25,22.95,45.44,24.94
Q4 41638,Jaime  Pearson,MidWest,Bellen,0.03,2,11.37,22.95,44.52,21.78
Q4 41975,Marian  Hill,South,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41560,Blake  Bridges,South,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41635,Sandra  Floyd,MidWest,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41637,Cindy  Becker,South,Carlota,0.02,1,10.25,22.95,22.49,12.24
Q4 42004,Austin  Reynolds,East,Bellen,0,4,11.37,22.95,91.80,46.32
Q4 41616,Elvira  Bowman,MidWest,Sunshine,0,3,10.24,19.95,59.85,29.13
Q4 41601,Jenny  Garcia,MidWest,Quad,0,3,27.00,34.00,102.00,21.00
Q1 41324,Cassandra  Franklin,MidWest,Doublers,0,4,64.32,79.95,319.80,62.52
Q4 41621,Ben  Perez,West,Crested Beaut,0.01,1,16.00,25.00,24.75,8.75
Q1 41303,Robert  Munoz,MidWest,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41984,Lance  Yates,MidWest,Doublers,0,2,64.32,79.95,159.90,31.26
Q1 41358,Cecilia  Manning,South,Quad,0.02,3,27.00,34.00,100.47,19.47
Q4 41964,Patty  Thompson,West,Bellen,0,4,11.37,22.95,91.80,46.32
Q4 41618,Robert  Munoz,MidWest,FlatTop,0,2,17.20,27.50,55.00,20.60
Q2 41766,Elaine  Ellis,South,Sunshine,0.01,2,10.24,19.95,39.50,19.02
Q4 41608,Isabel  Cross,East,Sunshine,0,3,10.24,19.95,59.85,29.13
Q4 41957,Shari  Silva,South,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41956,Sandra  Floyd,MidWest,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 42004,Shari  Silva,South,Bellen,0.02,2,11.37,22.95,45.21,22.47
Q2 41381,Trevor  Jones,West,Sunshine,0,1,10.24,19.95,19.95,9.71
Q1 41696,Mable  Lindsey,West,Quad,0.02,3,27.00,34.00,99.96,18.96
Q4 41983,Drew  Rogers,MidWest,Quad,0.01,2,27.00,34.00,67.32,13.32
Q4 41629,Sonya  Mullins,East,Quad,0,1,27.00,34.00,34.00,7.00
Q4 41958,Jenny  Garcia,MidWest,Bellen,0.01,3,11.37,22.95,68.16,34.05
Q4 41593,Jenny  Garcia,MidWest,Aspen,0.02,2,12.00,21.00,41.16,17.16
Q1 41337,Iris  Underwood,West,Quad,0,2,27.00,34.00,68.00,14.00
Q1 41668,Tiffany  May,West,Quad,0,3,27.00,34.00,102.00,21.00
Q2 41400,Kyle  Carr,MidWest,Quad,0.03,4,27.00,34.00,131.92,23.92
Q2 41734,Salvador  Bass,West,Sunbell,0,1,12.42,25.00,25.00,12.58
Q4 41968,Dan  Peterson,MidWest,Crested Beaut,0.02,2,16.00,25.00,49.25,17.25
Q3 41825,Max  Rodgers,West,Sunbell,0.03,2,12.42,25.00,48.50,23.66
Q4 41999,Edwin  Malone,East,Bellen,0.03,2,11.37,22.95,44.52,21.78
Q2 41739,Robert  Munoz,MidWest,Sunbell,0.03,2,12.42,25.00,48.75,23.91
Q4 41595,Elbert  Klein,South,Aspen,0.02,1,12.00,21.00,20.58,8.58
Q4 41977,Isabel  Cross,East,Sunbell,0,2,12.42,25.00,50.00,25.16
Q4 41619,Cassandra  Franklin,MidWest,Sunbell,0.03,2,12.42,25.00,48.75,23.91
Q1 41344,Drew  Rogers,MidWest,Doublers,0,1,64.32,79.95,79.95,15.63
Q4 41968,Cassandra  Franklin,MidWest,Quad,0.01,2,27.00,34.00,67.32,13.32
Q4 41599,Trevor  Jones,West,Sunshine,0,3,10.24,19.95,59.85,29.13
Q1 41337,Rachel  Gomez,MidWest,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41961,Della  Jensen,East,Quad,0.03,2,27.00,34.00,65.96,11.96
Q4 41616,Billie  Chandler,MidWest,Sunshine,0.01,2,10.24,19.95,39.50,19.02
Q4 41580,Guillermo  Potter,MidWest,Carlota,0.01,3,10.25,22.95,68.16,37.41
Q4 42001,Donna  Reid,West,Quad,0.03,3,27.00,34.00,99.45,18.45
Q4 41584,Salvador  Bass,West,Majectic Beaut,0.03,1,13.00,30.00,29.10,16.10
Q4 41995,Brooke  Horton,MidWest,Sunbell,0.03,2,12.42,25.00,48.75,23.91
Q1 41687,Allan  Ramos,MidWest,Sunbell,0.02,3,12.42,25.00,73.50,36.24
Q3 41857,Isabel  Cross,East,Quad,0,1,27.00,34.00,34.00,7.00
Q4 41605,Robert  Munoz,MidWest,Aspen,0.01,2,12.00,21.00,41.58,17.58
Q4 41962,Sandra  Floyd,MidWest,Bellen,0,1,11.37,22.95,22.95,11.58
Q3 41837,Cecilia  Manning,South,Majectic Beaut,0.02,2,13.00,30.00,59.10,33.10
Q4 41590,Max  Rodgers,West,Majectic Beaut,0,2,13.00,30.00,60.00,34.00
Q1 41667,Isabel  Cross,East,Majectic Beaut,0,4,13.00,30.00,120.00,68.00
Q4 41601,Bernadette  Page,MidWest,Quad,0.02,1,27.00,34.00,33.32,6.32
Q4 41566,Isabel  Cross,East,Carlota,0.03,1,10.25,22.95,22.38,12.13
Q4 41944,Woodrow  Colon,South,V-Rang,0.02,3,10.23,19.00,55.86,25.17
Q4 41999,Andrew  Meyer,West,Bellen,0.03,2,11.37,22.95,44.75,22.01
Q4 41549,Allan  Ramos,MidWest,Sunset,0,1,13.50,23.50,23.50,10.00
Q1 41335,Bethany  Pena,MidWest,Sunshine,0.01,1,10.24,19.95,19.75,9.51
Q4 41947,Carla  Mccormick,MidWest,Bellen,0.01,1,11.37,22.95,22.72,11.35
Q4 41962,Lance  Yates,MidWest,Quad,0.01,2,27.00,34.00,67.32,13.32
Q4 42001,Drew  Rogers,MidWest,Quad,0,2,27.00,34.00,68.00,14.00
Q2 41420,Sylvester  Morales,West,Quad,0.01,2,27.00,34.00,67.32,13.32
Q4 41956,Edwin  Malone,East,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41988,Robert  Munoz,MidWest,Carlota,0.02,3,10.25,22.95,67.82,37.07
Q4 41959,Salvador  Bass,West,Bellen,0,1,11.37,22.95,22.95,11.58
Q4 41963,Salvador  Bass,West,Quad,0,2,27.00,34.00,68.00,14.00
Q1 41675,Bethany  Pena,MidWest,Carlota,0,3,10.25,22.95,68.85,38.10
Q4 41619,Jenny  Garcia,MidWest,Carlota,0,3,10.25,22.95,68.85,38.10
Q2 41816,Ernest  Davis,West,FlatTop,0,2,17.20,27.50,55.00,20.60
Q4 41622,Rachel  Gomez,MidWest,Quad,0.01,3,27.00,34.00,100.98,19.98
Q4 41979,Elbert  Klein,South,Crested Beaut,0.02,4,16.00,25.00,98.50,34.50
Q4 41607,Christina  Fuller,West,Doublers,0,2,64.32,79.95,159.90,31.26
Q4 41602,Elaine  Ellis,South,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41638,Austin  Reynolds,East,Carlota,0,3,10.25,22.95,68.85,38.10
Q4 41614,Eddie  Green,East,Bellen,0.03,2,11.37,22.95,44.75,22.01
Q4 41601,Elbert  Klein,South,Crested Beaut,0.02,3,16.00,25.00,73.50,25.50
Q4 41635,Patty  Thompson,West,Sunshine,0,2,10.24,19.95,39.90,19.42
Q1 41708,Arturo  Francis,East,Aspen,0,3,12.00,21.00,63.00,27.00
Q4 41999,Edwin  Malone,East,Bellen,0,2,11.37,22.95,45.90,23.16
Q4 41618,Joey  Wong,West,Aspen,0.02,3,12.00,21.00,61.74,25.74
Q4 41619,Drew  Rogers,MidWest,Sunbell,0,2,12.42,25.00,50.00,25.16
Q1 41347,Lynette  Brewer,MidWest,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41600,Sonya  Mullins,East,Doublers,0,3,64.32,79.95,239.85,46.89
Q4 41944,Brooke  Horton,MidWest,Carlota,0,3,10.25,22.95,68.85,38.10
Q1 41279,Don  Gonzales,South,Doublers,0,4,64.32,79.95,319.80,62.52
Q3 41496,Rachel  Gomez,MidWest,Doublers,0,3,64.32,79.95,239.85,46.89
Q4 41607,Bethany  Pena,MidWest,Sunshine,0,4,10.24,19.95,79.80,38.84
Q4 41607,Ruben  Nunez,West,Sunbell,0.01,3,12.42,25.00,74.25,36.99
Q4 41964,Herman  Williams,East,Crested Beaut,0.02,1,16.00,25.00,24.50,8.50
Q4 41610,Lance  Yates,MidWest,Carlota,0.01,3,10.25,22.95,68.16,37.41
Q4 41588,Sonya  Mullins,East,V-Rang,0.02,2,10.23,19.00,37.43,16.97
Q4 41596,Brooke  Horton,MidWest,Carlota,0.03,3,10.25,22.95,67.13,36.38
Q4 41633,Lorraine  Gibson,East,Carlota,0,1,10.25,22.95,22.95,12.70
Q3 41474,Della  Jensen,East,Bellen,0.03,3,11.37,22.95,67.13,33.02
Q4 41608,Rachel  Gomez,MidWest,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41994,Paulette  Spencer,South,Sunshine,0.02,2,10.24,19.95,39.10,18.62
Q4 41962,Rachel  Gomez,MidWest,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 41606,Beth  Tucker,West,Carlota,0.03,2,10.25,22.95,44.75,24.25
Q4 41945,Della  Jensen,East,Bellen,0.02,3,11.37,22.95,67.82,33.71
Q4 42002,Rachel  Gomez,MidWest,Crested Beaut,0.01,3,16.00,25.00,74.25,26.25
Q4 41951,Bernadette  Page,MidWest,Bellen,0,3,11.37,22.95,68.85,34.74
Q4 41988,Cecilia  Manning,South,Majectic Beaut,0.02,3,13.00,30.00,88.65,49.65
Q4 41635,Eddie  Green,East,Quad,0.03,1,27.00,34.00,33.15,6.15
Q4 41999,Joey  Wong,West,Sunset,0,3,13.50,23.50,70.50,30.00
Q4 42002,Allan  Ramos,MidWest,Aspen,0.03,1,12.00,21.00,20.37,8.37
Q4 41608,Bernadette  Page,MidWest,Aspen,0,2,12.00,21.00,42.00,18.00
Q4 41599,Elvira  Bowman,MidWest,Sunset,0,3,13.50,23.50,70.50,30.00
Q4 41975,Fernando  Rowe,West,Carlota,0.03,3,10.25,22.95,67.13,36.38
Q4 41944,Jenny  Garcia,MidWest,Quad,0,2,27.00,34.00,68.00,14.00
Q4 41569,Allan  Ramos,MidWest,Aspen,0.02,2,12.00,21.00,41.37,17.37
Q4 41957,Fernando  Rowe,West,Bellen,0.03,2,11.37,22.95,44.52,21.78
Q4 41955,Beth  Tucker,West,Sunshine,0,3,10.24,19.95,59.85,29.13
Q4 41985,Andrew  Meyer,West,Sunshine,0.03,2,10.24,19.95,38.70,18.22
Q4 41585,Della  Jensen,East,Carlota,0.03,1,10.25,22.95,22.38,12.13
Q4 41633,Mable  Lindsey,West,Bellen,0,2,11.37,22.95,45.90,23.16
Q4 41999,Rachel  Gomez,MidWest,Quad,0.02,3,27.00,34.00,100.47,19.47
Q4 41954,Edwin  Malone,East,Bellen,0.03,2,11.37,22.95,44.52,21.78
Q4 41634,Patty  Thompson,West,Quad,0.03,2,27.00,34.00,66.30,12.30
Q2 41372,Rachel  Gomez,MidWest,Bellen,0,2,11.37,22.95,45.90,23.16
Q4 41626,Della  Jensen,East,Sunset,0,2,13.50,23.50,47.00,20.00
Q3 41521,Colleen  Warren,West,Quad,0.03,1,27.00,34.00,32.98,5.98
Q4 42004,Bernadette  Page,MidWest,Crested Beaut,0,3,16.00,25.00,75.00,27.00
Q4 41957,Rachel  Gomez,MidWest,Sunbell,0.02,2,12.42,25.00,49.00,24.16
Q1 41333,Donna  Reid,West,Carlota,0,2,10.25,22.95,45.90,25.40
Q4 41581,Arturo  Francis,East,Majectic Beaut,0,3,13.00,30.00,90.00,51.00
Q4 41936,Drew  Rogers,MidWest,Sunset,0,2,13.50,23.50,47.00,20.00
Q4 41631,Salvador  Bass,West,Majectic Beaut,0.02,1,13.00,30.00,29.55,16.55
Q4 41637,Bethany  Pena,MidWest,Quad,0.03,1,27.00,34.00,32.98,5.98
Q3 41871,Max  Rodgers,West,Sunbell,0.01,2,12.42,25.00,49.50,24.66
Q4 41597,Sandra  Floyd,MidWest,Bellen,0,2,11.37,22.95,45.90,23.16
Q4 41978,Peter  Hodges,MidWest,Sunbell,0,1,12.42,25.00,25.00,12.58
Q4 41635,Rachel  Gomez,MidWest,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 42004,Andrew  Meyer,West,Bellen,0.03,1,11.37,22.95,22.26,10.89
Q4 41996,Beth  Tucker,West,Sunbell,0,3,12.42,25.00,75.00,37.74
Q4 41996,Lula  Daniels,MidWest,Carlota,0.03,3,10.25,22.95,67.13,36.38
Q4 41979,Cindy  Becker,South,Bellen,0.02,1,11.37,22.95,22.61,11.24
Q4 41596,Bobbie  Ryan,East,Bellen,0,3,11.37,22.95,68.85,34.74
Q4 41630,Cecilia  Manning,South,Quad,0.03,1,27.00,34.00,32.98,5.98
Q4 41632,Colleen  Warren,West,Carlota,0,2,10.25,22.95,45.90,25.40
Q4 41633,Marion  Glover,East,Bellen,0.03,1,11.37,22.95,22.38,11.01
Q2 41400,Ruben  Nunez,West,Quad,0.03,2,27.00,34.00,66.30,12.30
Q3 41837,Arturo  Francis,East,Sunshine,0,1,10.24,19.95,19.95,9.71
Q4 41601,Edwin  Malone,East,Carlota,0.03,2,10.25,22.95,44.52,24.02
Q4 41630,Robert  Munoz,MidWest,Sunset,0,4,13.50,23.50,94.00,40.00
Q4 41579,Marion  Glover,East,Sunshine,0,3,10.24,19.95,59.85,29.13
Q4 41961,Guillermo  Potter,MidWest,Quad,0.02,2,27.00,34.00,66.64,12.64
Q1 41701,Trevor  Jones,West,Sunshine,0.01,1,10.24,19.95,19.75,9.51
Q4 41603,Della  Jensen,East,Carlota,0.02,1,10.25,22.95,22.61,12.36
Q4 41594,Salvador  Bass,West,Quad,0,3,27.00,34.00,102.00,21.00
Q4 41638,Bethany  Pena,MidWest,FlatTop,0,2,17.20,27.50,55.00,20.60
Q4 41608,Don  Gonzales,South,Crested Beaut,0.02,4,16.00,25.00,98.00,34.00
Q4 41980,Beth  Tucker,West,Majectic Beaut,0,2,13.00,30.00,60.00,34.00
Q4 41638,Brooke  Horton,MidWest,Aspen,0.03,1,12.00,21.00,20.37,8.37
Q4 41619,Ernest  Davis,West,Sunshine,0.03,4,10.24,19.95,77.41,36.45
Q4 41948,Edwin  Malone,East,V-Rang,0,2,10.23,19.00,38.00,17.54
Q4 41619,Rachel  Gomez,MidWest,Bellen,0,2,11.37,22.95,45.90,23.16
Q2 41380,Elvira  Bowman,MidWest,Aspen,0.02,1,12.00,21.00,20.58,8.58
Q4 41979,Beth  Tucker,West,Carlota,0,1,10.25,22.95,22.95,12.70
Q4 41962,Ruben  Nunez,West,Sunshine,0,4,10.24,19.95,79.80,38.84
Q4 41582,Isabel  Cross,East,Sunshine,0,2,10.24,19.95,39.90,19.42
Q4 42003,Brooke  Horton,MidWest,Majectic Beaut,0.02,2,13.00,30.00,58.80,32.80
Q4 41974,Trevor  Jones,West,Carlota,0.02,2,10.25,22.95,45.21,24.71
Q3 41861,Ben  Perez,West,Sunset,0,3,13.50,23.50,70.50,30.00
Q4 41970,Colleen  Warren,West,Sunshine,0.02,2,10.24,19.95,39.30,18.82
Q4 41950,Lynette  Brewer,MidWest,Aspen,0.02,1,12.00,21.00,20.69,8.69
Q4 41617,Brooke  Horton,MidWest,Bellen,0,2,11.37,22.95,45.90,23.16
